iter,time,reward,steps,convergence
1,0.047263372,-199.0,200.0,79.8
2,0.121212611,-151.8,185.12,62.0704407365
3,0.192698431,63.44,38.56,64.7255810882
4,0.261563527,63.06,38.94,69.7760921715
5,0.341480033,63.72,38.28,65.3471841856
6,0.430822503,63.12,38.88,58.6480519874
7,0.501639024,63.44,38.56,4.09872360244
8,0.557287586,62.32,39.68,1.43925889962
9,0.625051287,63.42,38.58,0.487562624449
10,0.686660827,63.5,38.5,0.00771200653535
11,0.748493509,63.16,38.84,2.71628195492e-08
